source,paragraph
Christie,"thought to be an Englishman, but they never got any clue as to his"
Christie,“Who?” The word came faintly between her parted lips.
Christie,"“Doesn’t sound likely to me,” said the inspector. “But—well, can"
Christie,The coincidence was rather startling. Could it be possible that
Christie,"The thing seemed simple enough, but Pagett is a person who loves"
Christie,"We thanked our informant, and drove on, leaving the town behind. A fork"
Christie,Lord Nasby stretched out a careless hand.
Conan Doyle,"block of a house, whitewashed, but all stained and streaked with damp"
Conan Doyle,"glance showed me the unconscious Summerlee, most futile of sentinels,"
Christie,“What was he like?”
Christie,Then I started to jump to conclusions. Not knowing that Sir Eustace
Christie,entered. He gave her a nod of dismissal and she went out leaving
Conan Doyle,me again with the same questioning and thoughtful look.
Conan Doyle,Immediately beneath the cliff there grew a considerable patch of high
Christie,"I huddled on a few garments, and stepped out into the cool night"
Conan Doyle,"throwing-stick, or his arrow avail him against such forces as have been"
Conan Doyle,"every Saturday for the London Irish.  I'm not the man----"""
Christie,Do you know that it is nearly eleven o’clock?”
Conan Doyle,"did to that of your friend. As to reward, my profession is its own"
Christie,but she hates being uncomfortable.
Conan Doyle,"thinking that Blundell got him at the wrong moment, maybe, or in the"
Conan Doyle,"three times, he went up to the door and knocked. It was instantly"
Christie,address should have been taken at the time. It was most irregular
Christie,through the secret passage from the back room—and found yourself
Christie,“To find a possible—witness.”
Christie,“I don’t think—I know.”
Christie,"So it will be all right. And anyway, you know, the world’s full of"
Conan Doyle,the far-off river and me.
Conan Doyle,"Good-day to you, Miss Hunter.’ She struck a gong upon the table, and I"
Conan Doyle,attempts to establish himself in practice in London and took us to live
Conan Doyle,"Between a slop-shop and a gin-shop, approached by a steep flight of"
Conan Doyle,"abroad, and he has been in failing health for some time. This business"
Christie,"obvious? M. Renauld wrote his letter. Without blotting it, he reread it"
Christie,  CHAPTER VIII
Conan Doyle,"the water-carafe upon the table, with a humorous, twinkling aside to"
Conan Doyle,"""Let me down!"" she wailed."
Conan Doyle,"“So I see,” the other answered with the utmost coolness. “I fancy that"
Conan Doyle,hinted also at the trouble which the Professor's baggage gave us when
